Recipe,Link,Time (min),Ingredient,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Red Curry–Marinated Japanese Eggplant,https://www.bonappetit.com/recipe/red-curry-marinated-japanese-eggplant,0,"6 Fresno chiles, seeds removed from 3, chopped",1019.7600000000001,94.81920000000001,13.278720000000002,,0.0,1.6800000000000002,30.055200000000003,15.624000000000002,,30.156000000000002,112.56000000000002,0.0,236.88000000000002,10.668000000000001
Red Curry–Marinated Japanese Eggplant,https://www.bonappetit.com/recipe/red-curry-marinated-japanese-eggplant,0,4 garlic cloves,164.4,7.8,2.3712,0.1524,0.0,166.2,39.318,20.34,1.428,3.582,96.0,0.12,379.2,7.098
Red Curry–Marinated Japanese Eggplant,https://www.bonappetit.com/recipe/red-curry-marinated-japanese-eggplant,0,"2 lemongrass stalks, bottom third only, tough outer layers removed, finely grated",1505.0,71.39999999999999,18.557,0.742,1036.0,5327.0,14.91,0.0,0.0,201.39,224.0,0.0,280.0,6.72
Red Curry–Marinated Japanese Eggplant,https://www.bonappetit.com/recipe/red-curry-marinated-japanese-eggplant,0,⅓ cup vegetable oil,718.3333333333333,83.33333333333333,67.91666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Curry–Marinated Japanese Eggplant,https://www.bonappetit.com/recipe/red-curry-marinated-japanese-eggplant,0,1 tablespoon finely grated peeled ginger,12.0,0.11249999999999999,0.03045,0.0,0.0,1.95,2.6654999999999998,0.3,0.255,0.273,0.0,0.75,2.4,0.09
Red Curry–Marinated Japanese Eggplant,https://www.bonappetit.com/recipe/red-curry-marinated-japanese-eggplant,0,1 teaspoon ground cumin,18.75,1.1135,0.07675,,0.0,8.4,2.212,0.525,0.1125,0.8905,63.5,0.385,46.550000000000004,3.318
Red Curry–Marinated Japanese Eggplant,https://www.bonappetit.com/recipe/red-curry-marinated-japanese-eggplant,0,½ teaspoon sugar,8.85,0.005000000000000001,0.0009,,0.0,0.275,2.2725000000000004,0.0,2.12175,0.0025000000000000005,0.0,0.0,2.25,0.04025000000000001
Red Curry–Marinated Japanese Eggplant,https://www.bonappetit.com/recipe/red-curry-marinated-japanese-eggplant,0,"1 teaspoon kosher salt, plus more",0.0,0.0,0.0,0.0,0.0,1937.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0165
Red Curry–Marinated Japanese Eggplant,https://www.bonappetit.com/recipe/red-curry-marinated-japanese-eggplant,0,"4 Japanese eggplants, halved lengthwise",250.0,1.7999999999999998,0.34,0.0,0.0,20.0,58.8,30.0,35.3,9.8,230.0,22.0,90.0,2.3000000000000003
Red Curry Mussels,https://www.bonappetit.com/recipe/red-curry-mussels,0,1 13.5-oz. can coconut milk,89.88000000000001,2.436,1.5360800000000001,,9.520000000000001,35.56,15.232000000000001,0.0,15.232000000000001,2.2148000000000003,74.76,0.7280000000000001,79.52000000000001,0.053200000000000004
Red Curry Mussels,https://www.bonappetit.com/recipe/red-curry-mussels,0,1 cup canned crushed tomatoes,80.0,0.7000000000000001,0.1,0.0,0.0,465.0,18.225,4.75,11.0,4.1,537.5,23.0,85.0,3.25
Red Curry Mussels,https://www.bonappetit.com/recipe/red-curry-mussels,0,½ cup dry white wine,190.0,0.0,0.0,0.0,0.0,11.25,14.5875,0.0,1.3625,0.25,0.0,0.0,10.0,0.3
Red Curry Mussels,https://www.bonappetit.com/recipe/red-curry-mussels,0,1 tablespoon Thai red curry paste,15.149999999999999,0.252,0.07005,0.0,0.0,1.3499999999999999,3.6674999999999995,2.1,,0.834,712.65,24.014999999999997,60.75,2.6174999999999997
Red Curry Mussels,https://www.bonappetit.com/recipe/red-curry-mussels,0,"4 tablespoons chopped fresh basil, divided",13.799999999999999,0.384,0.0246,0.0,0.0,2.4,1.5899999999999999,0.96,0.18,1.89,3165.0,10.799999999999999,106.2,1.902
Red Curry Mussels,https://www.bonappetit.com/recipe/red-curry-mussels,0,"½ medium red onion, thinly sliced",33.75,0.5874999999999999,0.10874999999999999,0.0,0.0,18.75,7.175000000000001,2.25,4.8875,1.2125,5000.0,16.75,65.0,0.6375
